age,sex,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
69,Male,Other,0,0,0,0,F,0
34,Male,African-American,0,0,0,0,F,1
24,Male,African-American,0,0,1,4,F,1
23,Male,African-American,0,1,0,1,F,0
43,Male,Other,0,0,0,2,F,0
44,Male,Other,0,0,0,0,M,0
41,Male,Caucasian,0,0,0,14,F,1
43,Male,Other,0,0,0,3,F,0
39,Female,Caucasian,0,0,0,0,M,0
21,Male,Caucasian,0,0,0,1,F,1
27,Male,Caucasian,0,0,0,0,F,0
23,Male,African-American,0,0,0,3,M,1
37,Female,Caucasian,0,0,0,0,M,0
41,Male,African-American,0,0,0,0,F,0
47,Female,Caucasian,0,0,0,1,F,1
31,Male,African-American,0,0,0,7,F,1
37,Male,Hispanic,0,0,0,0,M,0
25,Male,African-American,0,0,0,3,F,0
31,Male,Caucasian,0,0,0,6,F,1
31,Male,Caucasian,0,0,0,5,F,1
64,Male,African-American,0,0,0,13,F,1
21,Male,African-American,0,0,0,1,F,1
27,Male,Caucasian,0,0,0,0,M,1
21,Female,Caucasian,0,0,0,0,F,0
24,Male,Hispanic,0,0,0,1,F,1
43,Male,Caucasian,0,0,0,1,M,0
32,Male,Other,0,0,0,0,M,0
27,Male,African-American,0,0,0,8,F,1
36,Female,Caucasian,0,0,0,3,F,0
26,Male,African-American,0,0,1,5,F,1
33,Male,African-American,0,0,0,0,F,1
30,Male,Caucasian,0,0,0,9,F,1
32,Male,African-American,0,0,0,4,F,1
55,Male,Caucasian,0,0,0,0,F,0
49,Male,Other,0,0,0,7,F,1
26,Male,Caucasian,0,0,2,6,M,0
33,Female,Caucasian,0,0,0,4,M,1
24,Male,Caucasian,0,0,0,1,M,1
34,Male,African-American,2,1,3,21,F,1
29,Male,Caucasian,0,0,0,0,M,0
21,Female,African-American,0,0,0,2,F,0
51,Male,African-American,0,0,0,2,M,0
29,Male,Caucasian,0,0,0,2,M,1
51,Female,African-American,0,0,0,7,F,0
29,Male,African-American,0,0,0,0,F,1
25,Male,Caucasian,0,0,0,9,M,1
35,Male,African-American,1,0,4,13,F,1
49,Male,Caucasian,0,0,0,0,M,0
34,Male,African-American,0,0,0,4,M,1
29,Male,African-American,0,0,0,0,F,0
29,Male,Caucasian,0,0,0,1,F,1
28,Female,Other,0,0,0,0,F,0
48,Male,Caucasian,0,0,0,20,F,1
63,Female,Hispanic,0,0,0,1,F,0
31,Male,African-American,0,0,1,15,F,0
24,Male,African-American,0,0,0,2,F,1
30,Male,Hispanic,0,0,0,0,M,0
49,Male,African-American,0,0,0,4,M,0
53,Male,Caucasian,0,0,0,8,F,0
35,Male,African-American,0,0,0,5,F,0
63,Male,African-American,0,0,0,10,M,1
27,Male,African-American,1,1,2,15,F,1
38,Male,Caucasian,0,0,0,4,M,1
22,Male,African-American,0,0,1,1,F,1
22,Male,African-American,0,1,2,2,F,1
29,Male,African-American,0,0,0,4,F,1
62,Male,Hispanic,0,0,0,0,M,0
27,Male,African-American,0,1,0,6,F,1
33,Male,Other,0,0,0,0,M,0
56,Female,African-American,0,0,0,0,M,0
45,Male,Hispanic,0,0,0,6,F,1
22,Male,Hispanic,0,0,0,1,F,0
39,Male,African-American,0,0,0,1,M,0
29,Male,African-American,0,0,0,5,F,1
27,Male,Caucasian,0,0,1,1,F,1
40,Male,African-American,0,0,0,2,F,0
22,Male,African-American,0,0,0,1,M,1
22,Male,Caucasian,0,0,0,0,F,0
26,Female,African-American,0,0,0,1,F,1
27,Male,Caucasian,0,0,0,1,F,1
32,Male,African-American,0,0,0,0,F,0
41,Male,African-American,0,0,0,1,M,0
30,Male,African-American,0,0,0,8,M,1
50,Male,Other,0,0,0,0,F,1
25,Male,African-American,1,6,1,14,F,1
20,Male,Other,0,0,0,0,F,1
22,Male,African-American,1,0,0,2,F,1
23,Male,African-American,0,0,1,2,M,1
35,Female,African-American,0,0,0,1,M,0
36,Male,African-American,0,0,0,9,F,1
26,Male,Caucasian,0,0,0,7,F,1
21,Male,Other,0,0,0,1,F,1
25,Male,Caucasian,0,0,0,9,F,1
71,Male,African-American,0,0,0,12,M,0
20,Female,Caucasian,0,0,0,0,F,0
39,Male,Caucasian,0,0,0,2,F,1
66,Male,Caucasian,0,0,0,3,F,0
54,Female,Caucasian,0,0,0,0,M,0
44,Female,Hispanic,0,0,0,0,M,0
19,Male,African-American,0,0,0,1,M,1
24,Male,African-American,0,0,0,1,F,0
30,Male,African-American,0,0,0,1,F,0
39,Female,Caucasian,0,0,0,0,F,1
24,Male,Caucasian,0,1,2,8,F,1
30,Male,Caucasian,0,0,0,0,F,0
31,Male,Caucasian,0,0,0,0,M,0
39,Female,Caucasian,0,0,0,1,F,0
59,Male,African-American,0,0,0,14,F,1
43,Male,Caucasian,0,0,0,1,F,0
21,Male,African-American,0,0,0,3,F,1
38,Male,Caucasian,0,0,0,5,M,1
